GEOID,Total Population,Population 18 to 64,Total Households,Aggregate Income,% Group Quarters,Poverty Rate,% Near Poverty,% No Bachelors,Unemployment Rate,PCA Score,Percentile,Mobility Category
20091053202,3623,1860,1707,237030100,7.838807618,9.240362812,1.133786848,21.20838471,4.82069371,-1.657412584,18.57410882,Existing Mobility
20209044400,3056,1712,1079,78853800,0,15.65420561,3.504672897,82.65306122,1.267511674,-0.001486249,61.91369606,Limited Mobility
20091053008,4668,3167,2334,317062900,0,5.020524155,4.294284812,32.638332,5.168389463,-1.29718508,29.26829268,Existing Mobility
20209040200,1955,1220,676,61847200,0.153452685,9.918032787,6.06557377,85.05106778,6.40776699,0.494724826,71.10694184,Limited Mobility
20091052910,5102,3021,1839,291550400,2.783222266,2.579564489,0,29.94943602,1.4894354,-2.236841879,4.315196998,Existing Mobility
20091050301,3648,2822,2351,144174300,0,16.37136782,4.925584692,50.91743119,3.536629376,-0.368902888,53.0956848,Limited Mobility
20091980003,0,0,0,0,,,,,,,,Excluded
20091052004,1609,1000,949,84136300,0,9.7,3.2,44.51219512,12.05673759,-0.164527903,58.34896811,Limited Mobility
20091052414,3746,1792,1486,220254600,0,2.511160714,4.296875,29.92446252,6.177402323,-1.392762536,27.20450281,Existing Mobility
20091053006,4017,2349,2118,221304500,2.688573562,6.282271945,3.012048193,47.55859375,0.667259786,-1.440423839,24.57786116,Existing Mobility
20209041200,1359,812,561,22866300,0,32.63546798,26.72413793,95.57926829,6.116207951,3.720461597,98.87429644,Extremely Limited Mobility
20091051907,3662,2623,1589,127675400,0.819224468,11.13229127,17.80404117,75.41544477,1.752921536,0.881060866,76.36022514,Very Limited Mobility
20209044302,2009,1054,746,46246500,1.095072175,10.22179364,16.77917068,86.9510665,0.424178155,0.884951707,76.5478424,Very Limited Mobility
20091052308,3368,1944,1441,142385400,0,8.384773663,3.446502058,52.56487628,3.848209514,-0.849981215,42.77673546,Existing Mobility
20209044202,4404,2370,1449,136083000,0,5.864978903,20.21097046,89.29384966,4.978540773,1.469574943,87.80487805,Very Limited Mobility
20091052418,3544,2690,1818,114840400,0,14.94423792,9.293680297,68.77340824,5.981896891,0.610124457,72.98311445,Limited Mobility
20091050400,5128,3006,2593,240000300,0.546021841,20.26622296,3.926788686,44.65795542,1.320956801,-0.623208572,46.71669794,Existing Mobility
20091052102,2944,1938,1311,102781000,2.955163043,12.12278876,3.121748179,69.09814324,0.061236987,-0.667866509,45.59099437,Existing Mobility
20091052001,2262,1581,1452,119183200,0.221043324,2.150537634,8.096141682,43.66401159,7.662835249,-0.602227404,47.8424015,Existing Mobility
20209041600,3824,2299,1177,118156100,0,11.91822532,10.09134406,77.56696429,10.89060987,1.22572492,82.92682927,Very Limited Mobility
20091052417,3607,2754,1638,174110900,1.469365123,4.263848397,9.620991254,59.11654135,4.831460674,-0.274243977,55.53470919,Limited Mobility
20091053804,6118,3171,1927,426986800,0,0.851466414,0.315357931,27.45971889,3.746290801,-2.132285017,6.941838649,Existing Mobility
20091053009,4732,2710,1981,321809900,0,4.354243542,1.439114391,24.75450082,2.010424423,-2.088944664,8.630393996,Existing Mobility
20091980001,0,0,0,0,,,,,,,,Excluded
20209044102,3142,1738,942,80847100,0.350095481,19.50517837,5.120828539,82.26018397,3.008423586,0.509924947,71.2945591,Limited Mobility
20091052806,5563,3579,2039,287150400,0,6.454316848,2.235261246,39.77018832,4.324663115,-1.315463867,29.08067542,Existing Mobility
20091053010,6075,3915,2542,440519800,0.395061728,2.45210728,2.068965517,28.43165468,2.622036262,-1.985100299,10.13133208,Existing Mobility
20091053557,2464,1495,1039,76921100,0,16.65551839,9.765886288,75.25450274,8.910891089,1.192917361,82.17636023,Very Limited Mobility
20091053429,4108,2249,1768,520877700,0.827653359,3.245887061,0.933748333,29.69814995,3.216542217,-1.95160399,10.88180113,Existing Mobility
